temperature ( C ),smiles1,smiles2,smiles3,smiles4,smiles5,smiles6,conc1,conc2,conc3,conc4,conc5,conc6,log(cond) (uS/cm)
20,CCC#N,CC1COC(=O)O1,COCCOC(=O)OC,C1COC(=O)O1,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,5,75,10,0,0
20,CN(C)C=O,CCCCOC=O,CCOC(=O)OCC,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,10,70,10,0,0
20,CCC(=O)C,CCCCOC(=O)C,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,C1COCO1,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,15,65,10,0,0
20,CCCCOC(=O)C,COC(=O)OC,COC(=O)OC,FC(F)(F)COCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,20,60,10,0,0
20,COC(=O)CC(F)(F)F,CS(=O)C,C1COC(=O)O1,O1CCOCC1,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,25,55,10,0,0
20,CC#N,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCC(F)(F)F,FC(F)(F)C(F)(F)COCCOCCOCC(F)(F)C(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,30,50,10,0,0
20,COCCOC(=O)OC,CC1COC(=O)O1,CCOC(=O)OC,C(Cl)Cl,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,35,45,10,0,0
20,COC(=O)OC,C(C(F)(F)F)OC(C(F)F)(F)F,COCCOCCOCCOCCOC,COCCOCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,40,40,10,0,0
20,CCOC(=O)OCC,CS(=O)C,FC(F)(F)COCCOCCOCCOCC(F)(F)F,FC(F)(F)COCCOCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,45,35,10,0,0
20,CCCCOC=O,COC(=O)OC,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,C(Cl)Cl,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,50,30,10,0,0
20,CCC(=O)C,CC1COC(=O)O1,C1COC(=O)O1,FC(F)(F)COCCOCCOCCOCCOCC(F)(F)F,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,55,25,10,0,0
20,CCC(=O)OC,CC#N,COCCOC(=O)OC,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,60,20,10,0,0
20,C(C(F)(F)F)OC(C(F)F)(F)F,COC=O,C1COC(=O)O1,COCCOC,[Li+].[N+](=O)([O-])[O-]  ,O,5,5,65,15,10,0,0
