,log(cond) (uS/cm),conc1,conc2,conc3,conc4,conc5,conc6,smiles1,smiles2,smiles3,smiles4,smiles5,smiles6,temperature ( C )
9959,3.491046,2.442312,52.33236,45.22533,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,19.5
8386,2.170696,12.32048,72.10198,15.57753,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-39.4
9998,2.868112,4.149273,51.4167,44.43402,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-29.5
602,3.705049,7.004854,47.02378,45.97136,0.0,0.0,0,[Li+].C(#N)C1=C(N=C([N-]1)C(C(F)(F)F)(F)F)C#N,C1COC(=O)O1,COC(=O)OC,O,O,O,10.0
6555,3.708481,14.26005,28.42409,57.31586,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,19.5
4765,3.898649,10.38082,48.5505,41.06867,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CCOC(=O)OC,O,O,O,20.0
9731,3.725009,6.668615,30.97897,62.35242,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,39.3
8886,1.462181,3.877295,41.90361,54.2191,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,-39.4
13296,3.267172,8.665044,33.92355,45.42713,11.98428,0.0,0,[Li+].F[As-](F)(F)(F)(F)F,C(Cl)Cl,C1CCS(=O)(=O)C1,COCCOCCOCCOC,O,O,-10.0
11700,4.10337,8.933376,33.25954,57.80708,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O1CCOCC1,O,O,O,39.3
12612,3.582063,7.220045,18.95362,14.85184,25.05482,33.91968,0,[Li+].F[As-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,CC1CCCO1,C(Cl)Cl,O,-30.0
500,3.986749,2.27069986213608,32.38180196253345,41.8295353174925,23.51796285783797,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1=COC(=O)O1,C1COC(=O)O1,CCOC(=O)OC,O,O,60.0
5403,4.13783,6.563361,31.24489,26.95185,35.2399,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,CCOC(=O)OC,O,O,50.0
7652,2.569269,15.34295,45.41214,39.24491,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-29.5
2398,3.884342,10.41856,39.01135,50.57008,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,29.4
7723,3.564868,7.578553,30.67694,61.74451,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,19.5
13395,3.359835,7.510309,92.48969,0.0,0.0,0.0,0,[Li+].F[As-](F)(F)(F)(F)F,C1CCOC1,O,O,O,O,-50.0
647,3.844311,7.013428,46.49329,46.49329,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,COC(=O)OC,O,O,O,0.001871
12771,2.30103,8.928599,44.26257,46.80883,0.0,0.0,0,[Li+].F[As-](F)(F)(F)(F)F,CC1CCCO1,C1CCS(=O)(=O)C1,O,O,O,-60.0
5105,2.934925,10.73799,28.93181,24.95659,32.63107,2.742544,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,CCOC(=O)OC,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,O,-30.0
10007,3.867522,4.101332,51.44242,44.45625,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,59.0
4933,3.915613,3.941738,29.9831,25.86343,33.81678,6.394948,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CC1COC(=O)O1,CCOC(=O)OC,C(C(F)(F)F)OP(=O)(OCC(F)(F)F)OCC(F)(F)F,O,50.0
9806,3.868195,3.756969,61.10409,35.13894,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,59.0
7835,3.617751,9.431868,66.09033,24.47781,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,39.3
1768,3.888236,13.49941,63.12211,23.37847,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,39.3
831,4.068853,7.816259,70.35006,21.83368,0.0,0.0,0,[Li+].[O-]Cl(=O)(=O)=O,C1COC(=O)O1,COCCOCCOC,O,O,O,35.0
11553,3.843462,4.394681,95.60532,0.0,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O,O,O,O,59.0
866,2.818724,1.835947,28.81101,69.35304,0.0,0.0,0,[Li+].F[As-](F)(F)(F)(F)F,CC1COC(=O)O1,COCCOC,O,O,O,15.0
3085,3.539458,13.95171,46.15843,39.88986,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,49.2
6203,3.492229,15.35001,69.6107,15.03929,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,19.5
12970,4.509203,8.078462,38.9034,53.01813,0.0,0.0,0,[Li+].F[As-](F)(F)(F)(F)F,COCCOC,C1CC(=O)OC1,O,O,O,80.0
5865,3.81596,2.034301,97.9657,0.0,0.0,0.0,0,[Li+].[B-](OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(F)(F)F,COCCOC,O,O,O,O,34.96515
5970,3.902842,3.987484,96.01252,0.0,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,COCCOC,O,O,O,O,3.769489
12036,3.657577,2.790597,54.844,42.3654,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O1CCOCC1,O,O,O,9.7
11276,3.322137,7.798854,75.82028,16.38086,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,9.7
2616,3.593286,17.8526,27.23311,54.91429,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,19.5
2011,3.321598,17.29201,52.47537,30.23261,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,9.7
11365,2.652898,6.292292,72.65985,21.04786,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O1CCOCC1,O,O,O,-39.4
8969,2.742511,0.358554,63.21907,36.42237,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-0.2
6221,3.184252,3.769456,87.79986,8.430682,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-19.8
6006,3.60802,5.864307,94.13569,0.0,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,COCCOC,O,O,O,O,-49.0725
8397,2.100115,13.52999,71.10736,15.36264,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-39.4
10048,3.712683,6.07441,50.38401,43.54158,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,29.4
7878,3.446568,13.91872,62.81613,23.26515,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,29.4
10232,3.308329,6.376856,68.31966,25.30348,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-0.2
13626,3.866287,8.078462,38.9034,53.01813,0.0,0.0,0,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCCOC,C1CC(=O)OC1,O,O,O,-10.0
12047,3.716003,3.68085,54.34173,41.97742,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O1CCOCC1,O,O,O,9.7
12314,3.437592,0.920686,33.31789,65.76142,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CCOC(=O)OC,O,O,O,30.0
661,3.962968,7.013428,46.49329,46.49329,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,COC(=O)OC,O,O,O,10.28644
4016,3.344739,16.86603,52.74565,30.38832,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,29.4
3367,3.757965,6.726769,93.27323,0.0,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,O,O,O,O,49.2
9457,3.242637,3.477405,88.06633,8.456269,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-0.2
1111,3.236789,19.64038,58.64086,21.71876,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,20.0
9469,3.392952,3.965188,87.62128,8.413534,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,9.7
3377,3.402053,6.893149,93.10685,0.0,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,O,O,O,O,59.0
2587,3.744762,19.37387,26.72878,53.89734,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,39.3
2291,2.906981,7.750567,49.48488,42.76455,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-39.4
7354,2.600183,4.526638,41.5772,53.89616,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-39.4
9038,3.569551,2.182345,62.06194,35.75572,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,29.4
3280,1.933053,16.67759,60.8029,22.51951,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-39.4
11612,3.391839,1.903442,35.82703,62.26953,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O1CCOCC1,O,O,O,-19.8
