smiles,temperature,ionic
F[P-](F)(F)(F)(F)F.[Li+]<sep>2.901941<sep>CC1COC(=O)O1<sep>79.84719<sep>CCOC(=O)OCC<sep>17.25087<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-39.4,2.770999
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>2.034301<sep>COCCOC<sep>97.9657<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-15.9774,3.602277
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>4.569644<sep>CC1COC(=O)O1<sep>34.85328<sep>C1COCCO1<sep>60.57708<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,59.0,4.109809
F[As-](F)(F)(F)(F)F.[Li+]<sep>8.15417<sep>O=S1(=O)CCCC1<sep>56.99844<sep>COCCOCCOCCOC<sep>15.03694<sep>Cc1ccc(C)c(C)c1<sep>19.81045<sep>O<sep>0.0<sep>O<sep>0<sep>,40.0,3.652246
F[P-](F)(F)(F)(F)F.[Li+]<sep>16.25382<sep>CC1COC(=O)O1<sep>27.76313<sep>CCOC(=O)OCC<sep>55.98305<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.398808
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>4.442486<sep>CC1COC(=O)O1<sep>78.58034<sep>CCOC(=O)OCC<sep>16.97717<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-29.5,2.635803
F[P-](F)(F)(F)(F)F.[Li+]<sep>2.155863073561544<sep>O=c1occo1<sep>30.85943190094683<sep>O=C1OCCO1<sep>52.18499635833941<sep>CCOC(=O)OC<sep>14.79970866715222<sep>O<sep>0.0<sep>O<sep>0<sep>,0.0,3.533117
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>3.467302<sep>CC1COC(=O)O1<sep>70.44285<sep>CCOC(=O)OCC<sep>26.08985<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-10.0,3.192936
F[B-](F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F.[Li+]<sep>14.35395<sep>CC1COC(=O)O1<sep>85.64605<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,124.9891,3.474256
F[P-](F)(F)(F)(F)F.[Li+]<sep>10.65413<sep>O=C1OCCO1<sep>29.87695<sep>CC1COC(=O)O1<sep>25.77187<sep>CCOC(=O)OC<sep>33.69706<sep>O<sep>0.0<sep>O<sep>0<sep>,-20.0,3.162353
